,primary_rx_time,175_177_tdoa,175_177_fdoa,175_176_tdoa,175_176_fdoa,176_177_tdoa,176_177_fdoa,maneuver,175_177_tdoa_scaled,175_177_fdoa_scaled,175_176_tdoa_scaled,175_176_fdoa_scaled,176_177_tdoa_scaled,176_177_fdoa_scaled
3085,2021-11-10 04:31:25+00:00,0.0063009077338596,0.0063009077338596,0.0028953447737674,0.0028953447737674,0.0034055626556483,0.0034055626556483,0,0.658884141003803,0.658884141003803,0.6053213402954825,0.6053213402954825,-0.32079057217746854,-0.32079057217746854
4586,2021-12-13 04:01:55+00:00,0.0063004975955413,0.0063004975955413,0.0028950879016798,0.0028950879016798,0.0034054099923085,0.0034054099923085,0,0.2597765925921127,0.2597765925921127,0.467070895805096,0.467070895805096,-0.4302637684456617,-0.4302637684456617
2588,2021-10-30 18:31:55+00:00,0.0063002049596402,0.0063002049596402,0.0028933430971912,0.0028933430971912,0.0034068605961403,0.0034068605961403,0,-0.024988794726835635,-0.024988794726835635,-0.4719956970324687,-0.4719956970324687,0.6099482313318537,0.6099482313318537
3948,2021-11-29 19:31:55+00:00,0.0063001198331246,0.0063001198331246,0.0028920718006943,0.0028920718006943,0.0034080466855212,0.0034080466855212,0,-0.10782581197153639,-0.10782581197153639,-1.1562168104182051,-1.1562168104182051,1.4604798373940213,1.4604798373940213
3409,2021-11-17 12:01:55+00:00,0.0063025059939569,0.0063025059939569,0.0028982305875749,0.0028982305875749,0.0034042748125979,0.0034042748125979,0,2.2141586440072363,2.2141586440072363,2.1584875302489217,2.1584875302489217,-1.2442886117446106,-1.2442886117446106
476,2021-09-10 22:42:25+00:00,0.0062994964689932,0.0062994964689932,0.0028936374622486,0.0028936374622486,0.003405859289949,0.003405859289949,0,-0.7144244133454466,-0.7144244133454466,-0.31356626077796645,-0.31356626077796645,-0.10807738862631651,-0.10807738862631651
5267,2021-12-28 01:31:35+00:00,0.0063005226255646,0.0063005226255646,0.0028937883340995,0.0028937883340995,0.0034067339119254,0.0034067339119254,0,0.28413342732425384,0.28413342732425384,-0.23236592234172412,-0.23236592234172412,0.5191043788391373,0.5191043788391373
1543,2021-10-07 04:12:25+00:00,0.006300656659657,0.006300656659657,0.0028956633315204,0.0028956633315204,0.0034049898975618,0.0034049898975618,0,0.41456264018800476,0.41456264018800476,0.7767714630375291,0.7767714630375291,-0.7315090753870679,-0.7315090753870679
171,2021-09-04 14:12:25+00:00,0.0062994061541521,0.0062994061541521,0.0028930198617289,0.0028930198617289,0.0034063871567938,0.0034063871567938,0,-0.8023102148132331,-0.8023102148132331,-0.6459633972816364,-0.6459633972816364,0.27045010055337804,0.27045010055337804
3307,2021-11-15 09:02:35+00:00,0.0063016099465495,0.0063016099465495,0.0028974024569791,0.0028974024569791,0.0034042067206082,0.0034042067206082,0,1.3422106497061812,1.3422106497061812,1.7127815602656158,1.7127815602656158,-1.2931166261354732,-1.2931166261354732
3156,2021-11-11 16:01:25+00:00,0.006301922145461,0.006301922145461,0.0028963482880741,0.0028963482880741,0.0034055755726006,0.0034055755726006,0,1.6460128954992312,1.6460128954992312,1.1454201118275325,1.1454201118275325,-0.31152796822708223,-0.31152796822708223
4869,2021-12-19 17:31:55+00:00,0.0063017853380706,0.0063017853380706,0.0028942378487326,0.0028942378487326,0.0034075487440675,0.0034075487440675,1,1.5128849731600482,1.5128849731600482,0.009566155260042909,0.009566155260042909,1.1034115159332352,1.1034115159332352
1229,2021-09-29 18:12:25+00:00,0.0063010287953415,0.0063010287953415,0.0028949953876443,0.0028949953876443,0.003406030081169,0.003406030081169,0,0.7766896448844702,0.7766896448844702,0.41727916230467443,0.41727916230467443,0.014395110484716499,0.014395110484716499
194,2021-09-05 01:42:25+00:00,0.0062991910030206,0.0062991910030206,0.0028935243187405,0.0028935243187405,0.0034056669976577,0.0034056669976577,0,-1.0116748042688655,-1.0116748042688655,-0.3744609279728534,-0.3744609279728534,-0.2459680686935569,-0.2459680686935569
3220,2021-11-13 13:32:35+00:00,0.0063023151946826,0.0063023151946826,0.0028974626022665,0.0028974626022665,0.0034048539390576,0.0034048539390576,0,2.028490962625536,2.028490962625536,1.7451521957627205,1.7451521957627205,-0.8290034183909817,-0.8290034183909817
4237,2021-12-05 20:01:55+00:00,0.0062994168958272,0.0062994168958272,0.0028904822452457,0.0028904822452457,0.0034089343669848,0.0034089343669848,1,-0.7918574396795672,-0.7918574396795672,-2.0117272294915534,-2.0117272294915534,2.0970264190134924,2.0970264190134924
4232,2021-12-05 17:31:55+00:00,0.006300107187389,0.006300107187389,0.0028923612719322,0.0028923612719322,0.0034077458557706,0.0034077458557706,0,-0.12013143743505342,-0.12013143743505342,-1.000421263768003,-1.000421263768003,1.2447581430179042,1.2447581430179042
2033,2021-10-17 15:42:25+00:00,0.0063014385585529,0.0063014385585529,0.0028951843941295,0.0028951843941295,0.0034062515563369,0.0034062515563369,1,1.175432174986293,1.175432174986293,0.5190038410528341,0.5190038410528341,0.17321250931688664,0.17321250931688664
827,2021-09-18 06:12:25+00:00,0.006298450430196,0.006298450430196,0.002892105529855,0.002892105529855,0.0034063459802712,0.0034063459802712,0,-1.7323297425131552,-1.7323297425131552,-1.1380635283600302,-1.1380635283600302,0.24092287059666168,0.24092287059666168
6334,2022-01-20 05:01:35+00:00,0.0062993668315367,0.0062993668315367,0.0028944047857075,0.0028944047857075,0.003404965996102,0.003404965996102,0,-0.8405752389017982,-0.8405752389017982,0.09941286144542365,0.09941286144542365,-0.7486485484470078,-0.7486485484470078
4103,2021-12-03 01:01:55+00:00,0.0063015879426736,0.0063015879426736,0.0028947026082595,0.0028947026082595,0.0034068850348925,0.0034068850348925,0,1.3207985734035856,1.3207985734035856,0.25970314669169686,0.25970314669169686,0.6274729908427653,0.6274729908427653
6594,2022-01-25 15:01:35+00:00,0.0063000115195341,0.0063000115195341,0.0028934213387012,0.0028934213387012,0.0034065898153437,0.0034065898153437,0,-0.21322628209433048,-0.21322628209433048,-0.4298855415999869,-0.4298855415999869,0.4157743102666174,0.4157743102666174
3727,2021-11-24 03:01:55+00:00,0.0062986541271429,0.0062986541271429,0.0028920384918515,0.0028920384918515,0.0034066160416482,0.0034066160416482,0,-1.5341112745749577,-1.5341112745749577,-1.1741438742948587,-1.1741438742948587,0.4345809038056257,0.4345809038056257
2275,2021-10-23 01:31:55+00:00,0.0063000685091715,0.0063000685091715,0.0028940120082503,0.0028940120082503,0.0034060577872473,0.0034060577872473,0,-0.1577693948623365,-0.1577693948623365,-0.11198285130427434,-0.11198285130427434,0.03426283348581222,0.03426283348581222
6634,2022-01-26 11:01:10+00:00,0.0063003101709198,0.0063003101709198,0.0028957390481827,0.0028957390481827,0.0034045718246812,0.0034045718246812,0,0.07739280190229537,0.07739280190229537,0.8175227268908043,0.8175227268908043,-1.0313045244600503,-1.0313045244600503
4266,2021-12-06 10:31:55+00:00,0.0062999262584614,0.0062999262584614,0.00289650945948,0.00289650945948,0.0034034160917571,0.0034034160917571,0,-0.2961942374937644,-0.2961942374937644,1.2321637464238222,1.2321637464238222,-1.860067850346781,-1.860067850346781
1060,2021-09-25 19:42:25+00:00,0.0063013264049178,0.0063013264049178,0.0028952196647775,0.0028952196647775,0.0034061056297782,0.0034061056297782,0,1.0662949391984289,1.0662949391984289,0.5379867628992885,0.5379867628992885,0.06857018443235781,0.06857018443235781
622,2021-09-13 23:42:25+00:00,0.0062988435517967,0.0062988435517967,0.0028928354391839,0.0028928354391839,0.0034060082135518,0.0034060082135518,0,-1.3497812429410985,-1.3497812429410985,-0.7452209657411752,-0.7452209657411752,-0.0012859164913749297,-0.0012859164913749297
2460,2021-10-26 22:01:55+00:00,0.0063003385239124,0.0063003385239124,0.0028932551729505,0.0028932551729505,0.0034070834550451,0.0034070834550451,0,0.1049832338662793,0.1049832338662793,-0.5193171692556547,-0.5193171692556547,0.7697578926247696,0.7697578926247696
5183,2021-12-26 07:31:35+00:00,0.0062995961024943,0.0062995961024943,0.0028958467091139,0.0028958467091139,0.003403749234385,0.003403749234385,0,-0.6174705795064072,-0.6174705795064072,0.875466630923767,0.875466630923767,-1.6211749482448905,-1.6211749482448905
5895,2022-01-11 01:31:35+00:00,0.0062994267801622,0.0062994267801622,0.0028924997455071,0.0028924997455071,0.0034069260121523,0.0034069260121523,0,-0.7822389462752116,-0.7822389462752116,-0.925893768550633,-0.925893768550633,0.6568573316443542,0.6568573316443542
1957,2021-10-16 00:42:25+00:00,0.0062984833537098,0.0062984833537098,0.0028922698814154,0.0028922698814154,0.0034062074966764,0.0034062074966764,0,-1.7002917146298302,-1.7002917146298302,-1.0496083112506778,-1.0496083112506778,0.14161781298878348,0.14161781298878348
3841,2021-11-27 00:01:55+00:00,0.0063005106828423,0.0063005106828423,0.0028928070752373,0.0028928070752373,0.0034077013384574,0.0034077013384574,0,0.2725119074464343,0.2725119074464343,-0.7604866501585337,-0.7604866501585337,1.2128352689889978,1.2128352689889978
2241,2021-10-22 08:31:55+00:00,0.0062995391438804,0.0062995391438804,0.002894653395188,0.002894653395188,0.0034048849519372,0.0034048849519372,0,-0.6728972776232358,-0.6728972776232358,0.23321631009857638,0.23321631009857638,-0.8067644246697045,-0.8067644246697045
